Coluna alvo,R²,MAE,MSE,RMSE,MAPE,MPE
max.median,0.22193949999999996,0.7242857142857143,7.939392857142857,2.8176928251927778,15.910714285714283,-8.375
max.min,-0.05159295696947419,3.1904761904761907,207.47619047619048,14.404033826542843,inf,-inf
max.sd,-5.1386806251220625,698.432881686992,8942537.378394708,2990.407560583458,1229.2006462811598,-1223.5252024444867
mean.max,-499.0794327292827,18539.404248594758,1780808630.513145,42199.62832197868,1236052.8933552457,-1236050.6715128722
mean.mean,-6.406955738007414,3.392669672664846,95.21325663530236,9.757728046799745,1480.5617843876828,-1436.3749841461474
mean.median,0.49547668831073344,0.17014899947977147,0.4605414470151161,0.6786320409582177,283.27242367282236,-273.130522002816
mean.min,0.695736732402171,6.931325138883504,969.7115942792518,31.140192585776536,inf,-inf
mean.sd,-14.951125622750423,91.08270607406605,59556.1157448544,244.0412173073524,53739.523433792,-53736.71538415793
median.max,-19.111726915131037,3192.6997619047615,71676714.75781308,8466.210176803614,inf,-inf
median.mean,-575.3670220704679,35.208080102262294,7154.779036500066,84.58592694118842,inf,-inf
median.median,0.6391133593750002,0.11261904761904759,0.26186785714285704,0.5117302581857526,inf,-inf
median.min,0.7366187498504789,6.948095238095238,973.6177571428572,31.20284854212604,inf,
median.sd,-4.016797594255387,71.27096205930836,18781.92290688553,137.0471557781683,inf,-inf
min.max,-122.67548663210174,865.9295238095236,12304752.364761904,3507.813045868024,inf,-inf
min.mean,-40054563.80682242,18812.55891330025,3715084053.485215,60951.48934591521,inf,-inf
min.median,0.0,1.0559523809523808,11.125508333333334,3.335492217549508,inf,
min.min,-10.25572252966827,81.37,61785.69822380952,248.567291138254,inf,inf
min.sd,-25.462446619705577,63.15575015210561,13305.700506122095,115.35033812747189,inf,-inf
nr_attr,0.6141037969681387,11.795714285714288,551.3747952380953,23.481371238454013,22.093776219881242,6.908739128121455
nr_bin,0.7701513016845329,0.9447619047619048,2.042057142857143,1.4290056482943456,inf,-inf
nr_cat,0.6157986095742123,5.958095238095238,108.64797142857142,10.423433763811781,inf,-inf
nr_cor_attr,0.7835858564704178,0.0017188958945607107,7.570451844264991e-06,0.0027514454100099808,109.43534981446408,-80.64863622792275
nr_inst,0.349961987342296,2508.8095238095243,29265775.738352384,5409.785184122599,285.3942200778284,-281.23663733056446
nr_norm,0.8342230182981702,18.024285714285714,2067.7201285714286,45.47219071665042,inf,-inf
nr_num,0.7535653538491887,7.53047619047619,339.9289333333333,18.43716174830967,inf,-inf
nr_outliers,0.3829523665248782,1353.2990476190478,6348153.768028573,2519.5542796353034,96.87982525456222,-55.5049223998756
