Coluna alvo,R²,MAE,MSE,RMSE,MAPE,MPE
range.sd,-9.292437823128086,102799.22158469257,47019053367.89685,216838.77275039363,inf,-inf
sd.max,-105.45407528353641,2142841.0463333046,25617503569552.617,5061373.684045925,325735265.64626694,-325735257.89519006
sd.mean,-0.136852880588892,295.063771789976,785617.3076591154,886.3505557391586,277174.3632976566,-277174.3332490369
sd.median,0.5794549414640146,1.9285203028614535,25.04355706204159,5.004353810637452,770.6621523253426,-759.1923648969281
sd.min,0.7204825253883029,0.10118115072880804,0.1196893754857242,0.34596152312898065,inf,-inf
sd.sd,-6.903941346095252,15981.90581786448,2348020266.676565,48456.374881707416,80904523.58748442,-80904514.26858872
skewness.max,0.8451285448053111,4.62186239868368,67.42855910184828,8.211489456965056,96.29329574582482,-74.48572111702245
skewness.mean,0.9570549679155158,1.972324044403131,11.595743749084162,3.4052523767092744,214.24470703087573,-195.38877672665856
skewness.median,0.9363306664553707,2.0486240236484994,23.22856037356687,4.819601682044572,inf,-inf
skewness.min,0.6521288319080261,1.8977945978866952,7.815740150441348,2.795664527521381,inf,inf
skewness.sd,0.9560114703712674,0.81162145775144,0.9840801507295245,0.9920081404552709,61.31639819603505,-59.73189595355757
sparsity.max,0.8442969892942472,0.04360046343672458,0.010533549701149942,0.10263308287852384,91.34599007123573,-83.35060615787468
sparsity.mean,0.9152603719219985,0.025558554708579456,0.0025212273395211365,0.050211824698183756,70.23587141885288,-55.008967924779775
sparsity.median,0.956200232318558,0.025758599961512873,0.0013120311938610866,0.036221971148200735,inf,-inf
sparsity.min,0.9082345194609841,0.020314523590750682,0.0012870634717772197,0.03587566684784019,inf,-inf
sparsity.sd,0.8034971501600741,0.026772814842217267,0.0013919386603837678,0.037308694166156064,inf,-inf
t_mean.max,0.8410264456025832,42329.96033257751,13109757381.806814,114497.84880864275,inf,-inf
t_mean.mean,-24.217919673851206,477.44782922718196,2051843.0048015977,1432.4255669323966,inf,-inf
t_mean.median,0.9106174071315735,2.061718879740137,25.599142009828377,5.059559467960464,inf,-inf
t_mean.min,-52.237047881633956,3.145684609044086,48.17942829441782,6.941140273356952,inf,
t_mean.sd,0.8524957273340678,850.0789310019493,6625710.662592878,2574.0455828506374,inf,-inf
var.max,-3.5291052361316098,423102542577465.4,1.2166977252366592e+30,1103040219228954.1,8.117903225764552e+16,-8.117903225764552e+16
var.mean,-491.7270740762573,11194287661.856115,8.244966588651425e+20,28714049851.338326,276849380002839.56,-276849380002839.4
var.median,0.42276502037430996,55.02591944871095,25371.02258036258,159.2828383108569,157575.86466862794,-157564.9383025953
var.min,0.537613445699185,0.31991478643722415,1.4669379064613397,1.2111721209065784,inf,-inf
var.sd,-27378.156983056644,1982894041090.5652,2.023838758387216e+25,4498709546511.328,2.3798974620448908e+16,-2.3798974620448908e+16
